City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,roswell,34.0232,-84.3616,11.99,97,100,3.09,US,1670362317
152,palmas,-10.2128,-48.3603,30.93,66,20,1.03,BR,1670363032
153,cabo san lucas,22.8909,-109.9124,29.78,60,12,4.18,MX,1670362933
154,namibe,-15.1961,12.1522,20.4,83,9,2.76,AO,1670363033
155,souillac,-20.5167,57.5167,25.21,83,75,5.14,MU,1670363033
156,ambon,-3.6954,128.1814,24.08,88,20,1.54,ID,1670363034
157,campos belos,-13.0367,-46.7717,22.69,84,63,1.36,BR,1670363034
158,westerlo,51.0905,4.9154,6.02,91,75,4.12,BE,1670363034
159,avarua,-21.2078,-159.775,23.03,100,75,3.6,CK,1670363035
160,nambucca heads,-30.65,153.0,23.89,69,63,1.09,AU,1670363035
161,puerto ayora,-0.7393,-90.3518,25.98,82,54,1.79,EC,1670362975
162,hirara,24.8,125.2833,21.86,71,31,12.08,JP,1670363036
163,kaitangata,-46.2817,169.8464,12.77,54,2,6.48,NZ,1670363036
164,san ramon de la nueva oran,-23.1322,-64.326,39.12,17,47,2.74,AR,1670363037
165,klaksvik,62.2266,-6.589,2.51,65,100,11.09,FO,1670363037
166,flinders,-34.5833,150.8552,23.92,73,61,2.68,AU,1670363037
167,thompson,55.7435,-97.8558,-24.91,64,75,3.09,CA,1670362755
168,svetlaya,46.5389,138.3297,-8.45,68,100,5.11,RU,1670363038
169,dingle,10.9995,122.6711,23.56,92,41,3.28,PH,1670363039
170,kodiak,57.79,-152.4072,3.73,70,20,1.54,US,1670363039
171,haines junction,60.7522,-137.5108,-5.25,97,98,0.32,CA,1670363039
172,bayir,37.2687,28.2167,4.29,85,81,0.73,TR,1670363040
173,grindavik,63.8424,-22.4338,3.26,81,75,3.6,IS,1670363040
174,derzhavinsk,51.1,66.3167,-20.49,91,62,3.2,KZ,1670363041
175,poronaysk,49.2167,143.1167,-11.67,82,99,3.52,RU,1670363041
176,mirnyy,62.5353,113.9611,-15.98,84,100,7.15,RU,1670363041
177,chifeng,42.2683,118.9636,-7.89,42,0,4.35,CN,1670363042
178,chunskiy,56.0815,99.6342,-12.98,89,100,5.72,RU,1670363042
179,shirokiy,49.758,129.523,-24.36,100,100,0.9,RU,1670363042
180,leningradskiy,69.3833,178.4167,-19.78,92,22,2.98,RU,1670363043
181,kavieng,-2.5744,150.7967,27.63,79,92,3.72,PG,1670363043
182,udachnyy,66.4167,112.4,-15.86,84,100,7.12,RU,1670363044
183,ruwi,23.5996,58.5507,21.83,57,0,2.13,OM,1670363044
184,thinadhoo,0.5333,72.9333,27.73,73,59,6.37,MV,1670363044
185,sur,22.5667,59.5289,22.13,58,0,1.83,OM,1670363045
186,kajaani,64.2273,27.7285,-1.97,93,100,4.12,FI,1670363045
187,kousseri,12.0769,15.0306,21.98,28,0,2.57,CM,1670363046
188,hovd,48.0056,91.6419,-17.43,75,6,2.07,MN,1670363046
189,kingman,35.1894,-114.053,12.72,55,20,5.66,US,1670363046
190,kapaa,22.0752,-159.319,27.18,83,100,5.14,US,1670363047
191,buala,-8.145,159.5921,28.54,72,18,1.97,SB,1670363048
192,mandurah,-32.55,115.7,16.04,70,0,7.8,AU,1670363048
193,candido mendes,-1.4467,-45.7167,25.08,86,18,2.52,BR,1670363048
194,labuhan,-6.8844,112.2051,25.12,86,99,1.98,ID,1670363049
195,saint-leu,-21.15,55.2833,24.48,77,33,2.81,RE,1670363049
196,half moon bay,37.4636,-122.4286,14.44,75,75,2.06,US,1670362994
197,oistins,13.0667,-59.5333,27.05,69,20,0.51,BB,1670362917
198,goma,-1.6792,29.2228,15.99,89,58,1.84,CD,1670363050
199,sarkand,45.41,79.9186,-12.36,69,16,3.04,KZ,1670363050
200,hithadhoo,-0.6,73.0833,27.53,75,60,5.29,MV,1670363051
201,merauke,-8.4667,140.3333,25.63,82,100,3.82,ID,1670363051
202,wajir,1.7471,40.0573,26.31,66,51,5.65,KE,1670363051
203,narsaq,60.9167,-46.05,1.12,99,100,2.53,GL,1670363052
204,port-gentil,-0.7193,8.7815,22.98,100,40,3.6,GA,1670363052
205,davila,18.4726,120.5763,23.99,83,99,8.41,PH,1670363053
206,grinnell,41.743,-92.7224,6.99,63,75,2.06,US,1670363053
207,mayenne,48.3333,-0.6667,4.69,94,81,2.45,FR,1670363054
208,cidreira,-30.1811,-50.2056,21.69,89,13,3.03,BR,1670363054
209,amahai,-3.3333,128.9167,25.54,79,82,1.46,ID,1670363054
210,saint-francois,46.4154,3.9054,2.04,93,100,0.0,FR,1670362842
211,provideniya,64.3833,-173.3,-2.94,80,75,8.05,RU,1670363055
212,bandarbeyla,9.4942,50.8122,24.84,72,86,6.41,SO,1670363055
213,west plains,36.7281,-91.8524,13.46,89,100,1.54,US,1670363056
214,saint-philippe,-21.3585,55.7679,24.77,87,77,6.26,RE,1670363056
215,sibu,2.3,111.8167,24.17,100,40,1.54,MY,1670363057
216,sao filipe,14.8961,-24.4956,23.15,73,62,2.52,CV,1670363057
217,hambantota,6.1241,81.1185,24.19,100,40,1.54,LK,1670363057
218,burriana,39.889,-0.085,14.83,88,8,1.48,ES,1670363058
219,severo-kurilsk,50.6789,156.125,-2.54,81,43,4.39,RU,1670363058
220,rivers,50.0308,-100.2403,-20.47,87,75,3.41,CA,1670363058
221,bud,39.447,-86.1758,11.01,90,99,0.86,US,1670363059
222,tondano,1.3038,124.9112,19.05,92,91,0.61,ID,1670363059
223,paka,4.6374,103.4368,24.99,100,71,0.0,MY,1670363060
224,puri,19.8,85.85,16.29,49,97,4.69,IN,1670363060
225,roma,43.2128,-75.4557,10.4,95,100,0.0,US,1670362796
226,gat,31.61,34.7642,16.33,100,38,1.59,IL,1670363061
227,vardo,70.3705,31.1107,-0.01,86,20,6.69,NO,1670363061
228,lompoc,34.6391,-120.4579,17.61,63,0,4.63,US,1670363062
229,kavaratti,10.5669,72.642,27.26,70,96,1.66,IN,1670363062
230,chiredzi,-21.05,31.6667,24.89,63,79,4.52,ZW,1670362930
231,nioro,13.35,-15.75,27.96,40,3,2.43,GM,1670363063
232,port elizabeth,-33.918,25.5701,19.5,91,0,2.57,ZA,1670363064
233,ewa beach,21.3156,-158.0072,28.97,63,0,4.12,US,1670363064
234,orlovskiy,46.8714,42.0592,-7.87,68,6,6.65,RU,1670363065
235,grande prairie,55.1667,-118.8027,-26.9,69,40,2.06,CA,1670362926
236,rio branco,-9.9747,-67.81,30.34,66,40,2.57,BR,1670363065
237,nome,64.5011,-165.4064,-7.69,93,0,3.09,US,1670363065
238,san jose,37.3394,-121.895,14.41,77,75,3.6,US,1670363040
239,presidencia roque saenz pena,-26.7852,-60.4388,38.78,16,3,2.53,AR,1670363066
240,dudinka,69.4058,86.1778,-5.21,94,100,7.78,RU,1670363067
241,denpasar,-8.65,115.2167,25.81,88,40,1.54,ID,1670363067
242,tuatapere,-46.1333,167.6833,14.03,53,6,2.63,NZ,1670363068
243,rabo de peixe,37.8,-25.5833,14.73,98,40,6.69,PT,1670363068
244,cuiluan,47.72,128.648,-14.8,96,100,1.68,CN,1670363068
245,pangnirtung,66.1451,-65.7125,-6.0,79,100,7.2,CA,1670363069
246,axim,4.8699,-2.2405,26.33,85,66,4.15,GH,1670363069
247,rocha,-34.4833,-54.3333,24.28,47,0,4.51,UY,1670363070
248,wajima,37.4,136.9,9.17,66,98,10.05,JP,1670363070
249,polunochnoye,60.8697,60.4153,-20.25,98,26,1.65,RU,1670363070
250,tatarbunary,45.8373,29.6142,5.62,82,100,2.98,UA,1670363071
251,vestmannaeyjar,63.4427,-20.2734,1.63,73,17,7.5,IS,1670363071
252,takoradi,4.8845,-1.7554,26.29,86,63,3.94,GH,1670363072
253,balkhash,46.844,74.9804,-16.49,86,81,3.72,KZ,1670363072
254,carmen,18.6333,-91.8333,29.02,61,20,4.63,MX,1670363073
255,sitka,57.0531,-135.33,3.94,87,100,4.12,US,1670363073
256,bauchi,10.5,10.0,20.98,31,48,2.79,NG,1670363073
257,mandalgovi,45.7625,106.2708,-11.96,39,100,3.74,MN,1670363074
258,carnarvon,-24.8667,113.6333,21.04,75,65,6.75,AU,1670363074
259,walla walla,46.0646,-118.343,7.52,75,75,5.66,US,1670362980
260,ayr,55.4627,-4.6339,0.17,93,20,1.54,GB,1670363075
261,coihaique,-45.5752,-72.0662,14.97,51,100,4.63,CL,1670363075
262,imeni poliny osipenko,52.4201,136.4853,-28.0,100,77,1.25,RU,1670363076
263,rivadavia,-33.1905,-68.4608,33.62,19,0,2.61,AR,1670362951
264,belmonte,-15.8631,-38.8828,23.78,86,86,2.7,BR,1670363076
265,saint anthony,45.0205,-93.218,-0.82,63,0,2.06,US,1670363077
266,nantucket,41.2835,-70.0995,12.08,86,0,5.66,US,1670362777
267,beauvais,49.4167,2.0,2.02,98,100,1.54,FR,1670363078
268,bathsheba,13.2167,-59.5167,27.34,84,20,0.51,BB,1670363078
269,norman wells,65.282,-126.8329,-29.98,69,75,4.12,CA,1670363078
270,kikwit,-5.041,18.8162,20.65,97,97,0.6,CD,1670363079
271,rantoul,40.3084,-88.1559,7.01,97,100,0.0,US,1670362785
272,gavle,60.6745,17.1417,-8.68,92,91,0.45,SE,1670363079
273,umm lajj,25.0213,37.2685,23.3,68,61,3.9,SA,1670363080
274,asosa,10.0667,34.5333,17.83,47,28,1.69,ET,1670363080
275,calvia,39.5657,2.5062,13.93,88,80,2.0,ES,1670363081
276,coffs harbour,-30.3,153.1333,22.98,73,74,3.09,AU,1670362819
277,panjab,34.388,67.0233,-4.25,83,64,0.42,AF,1670363081
278,ostrovnoy,68.0531,39.5131,-3.98,89,44,10.85,RU,1670363082
279,sakassou,7.4546,-5.2926,26.91,54,18,0.93,CI,1670363082
280,miramar,25.9873,-80.2323,27.22,67,40,6.17,US,1670363083
281,kiryas joel,41.342,-74.1679,12.21,91,100,3.09,US,1670363022
282,nicoya,10.1483,-85.452,27.05,75,24,2.2,CR,1670363083
283,wonthaggi,-38.6044,145.5913,16.01,64,78,2.64,AU,1670363084
284,cascais,38.6979,-9.4215,13.85,90,53,3.13,PT,1670363084
285,bereda,43.2686,-7.5406,10.23,100,96,0.66,ES,1670363085
286,vysokogornyy,50.1167,139.15,-16.58,93,100,3.3,RU,1670363085
287,orlik,52.5178,99.825,-20.05,85,100,1.11,RU,1670363085
288,mount gambier,-37.8333,140.7667,12.56,66,70,3.84,AU,1670363086
289,port hedland,-20.3167,118.5667,26.03,69,1,5.66,AU,1670363086
290,sinnamary,5.3833,-52.95,25.55,89,62,4.07,GF,1670363087
291,sibolga,1.7427,98.7792,23.86,92,100,1.76,ID,1670363087
292,port hardy,50.6996,-127.4199,4.1,93,75,2.06,CA,1670363087
293,caceres,39.522,-6.3748,10.41,94,100,0.87,ES,1670363088
294,gannavaram,16.5333,80.8,20.1,83,83,0.64,IN,1670363088
295,port moresby,-9.4431,147.1797,24.68,94,75,1.54,PG,1670362926
296,caravelas,-17.7125,-39.2481,23.44,87,85,2.63,BR,1670363088
297,bambanglipuro,-7.95,110.2833,24.09,90,100,1.27,ID,1670363089
298,bengkulu,-3.8004,102.2655,24.04,86,100,1.69,ID,1670363089
299,marquette,46.5333,-87.6335,-1.77,66,73,2.01,US,1670363090
300,kahului,20.8947,-156.47,28.8,62,20,4.47,US,1670362867
301,fayaoue,-20.65,166.5333,27.09,81,80,4.84,NC,1670363090
302,kanker,20.2719,81.4931,13.52,57,61,0.66,IN,1670363091
303,beaverlodge,55.2166,-119.4361,-27.36,91,99,2.09,CA,1670363091
304,zonguldak,41.25,31.8333,4.34,94,12,1.21,TR,1670363092
305,sembakung,3.8167,117.25,22.37,99,43,0.49,ID,1670363092
306,arlit,18.7369,7.3853,24.45,16,57,3.54,NE,1670363093
307,juegang,32.3174,121.1855,7.21,64,91,1.79,CN,1670363093
308,puerto escondido,15.85,-97.0667,30.46,62,0,3.09,MX,1670362888
309,tiarei,-17.5333,-149.3333,31.01,77,36,7.43,PF,1670363093
310,shimoda,34.6667,138.95,7.28,73,25,9.06,JP,1670363094
311,adrar,20.5022,-10.0711,25.52,28,0,3.41,MR,1670363094
312,khasan,42.4308,130.6434,-3.54,49,2,5.05,RU,1670363095
313,tairua,-37.0167,175.85,15.15,91,100,7.92,NZ,1670363095
314,hella,67.2,14.4333,0.08,80,40,6.69,NO,1670363096
315,kiruna,67.8557,20.2251,-12.49,72,87,4.63,SE,1670363096
316,pevek,69.7008,170.3133,-13.23,95,100,2.78,RU,1670363097
317,boa vista,2.8197,-60.6733,28.99,70,40,2.06,BR,1670362750
318,fowa,8.9167,6.4,24.95,22,64,0.66,NG,1670363097
319,port blair,11.6667,92.75,27.02,83,75,3.6,IN,1670363098
320,hobyo,5.3505,48.5268,26.22,78,100,7.38,SO,1670363098
321,sioux lookout,50.1001,-91.917,-18.96,78,100,1.54,CA,1670362979
322,vila velha,-20.3297,-40.2925,24.97,88,100,5.66,BR,1670363104
323,saint-pierre,-21.3393,55.4781,24.82,78,75,8.75,RE,1670363105
324,san rafael,-34.6177,-68.3301,31.03,21,0,2.56,AR,1670363106
325,kathu,7.9178,98.3332,29.27,99,84,6.6,TH,1670363106
326,guia de isora,28.2115,-16.7795,18.77,88,95,3.62,ES,1670363107
327,egvekinot,66.3167,-179.1667,-14.48,94,100,1.72,RU,1670363107
328,taksimo,56.3444,114.8794,-17.82,84,97,2.22,RU,1670363108
329,mahebourg,-20.4081,57.7,25.16,83,75,5.14,MU,1670363108
330,kapoeta,4.7717,33.5903,24.87,59,29,2.24,SS,1670363109
331,cervo,43.6702,-7.4101,12.43,83,88,1.21,ES,1670363109
332,necochea,-38.5473,-58.7368,19.09,62,2,7.2,AR,1670363109
333,poum,-20.2333,164.0167,27.39,75,99,2.14,NC,1670363110
334,nizwa,22.9333,57.5333,17.97,57,0,0.41,OM,1670363111
335,buraydah,26.326,43.975,15.25,89,59,2.37,SA,1670363111
336,hirado,33.3597,129.5531,7.99,59,100,6.86,JP,1670363111
337,anloga,5.7947,0.8973,27.58,82,31,4.23,GH,1670363112
338,jalu,29.0331,21.5482,19.66,21,54,4.08,LY,1670363112
339,puerto ayacucho,5.6639,-67.6236,26.56,76,50,2.75,VE,1670363113
340,forbes,-33.3833,148.0167,19.63,33,100,2.8,AU,1670363113
341,champerico,14.3,-91.9167,34.3,72,16,3.46,GT,1670363114
342,ferrol,43.4832,-8.2369,13.18,93,100,1.11,ES,1670363114
343,wilmington island,32.0036,-80.9737,22.05,61,100,1.54,US,1670363114
344,clyde river,70.4692,-68.5914,-14.87,92,75,0.0,CA,1670363115
345,lumeje,-11.55,20.7833,17.76,94,82,1.42,AO,1670363115
346,kongolo,-5.3833,27.0,20.31,96,15,0.51,CD,1670363116
347,upington,-28.4478,21.2561,19.21,22,0,2.06,ZA,1670363116
348,obo,5.3998,26.4869,23.34,47,61,1.19,CF,1670363117
349,hoquiam,46.9809,-123.8893,7.74,95,100,1.54,US,1670363119
350,aykhal,66.0,111.5,-14.94,94,100,10.99,RU,1670363120
351,muros,42.7762,-9.0603,10.61,93,97,2.32,ES,1670363120
352,macusani,-14.0833,-70.4333,5.39,78,99,1.99,PE,1670363120
353,ushtobe,45.2514,77.9838,-14.2,95,30,2.63,KZ,1670363121
354,laurentides,46.4334,-74.9826,1.66,99,100,0.85,CA,1670363121
355,beisfjord,68.3751,17.5988,-0.97,86,95,4.43,NO,1670363122
356,ponta do sol,32.6667,-17.1,21.67,94,95,6.89,PT,1670363122
357,santa rosa,14.3122,121.1114,26.17,83,68,3.03,PH,1670363123
358,waingapu,-9.6567,120.2641,25.48,81,42,1.5,ID,1670363123
359,temiscaming,46.7212,-79.0971,-2.25,86,97,2.57,CA,1670363124
360,kozhva,65.1073,57.0459,-14.97,89,99,5.75,RU,1670363124
361,kaeo,-35.1,173.7833,17.96,96,100,8.11,NZ,1670363124
362,rundu,-17.9333,19.7667,20.3,64,41,2.67,NA,1670363125
363,atambua,-9.1061,124.8925,23.25,79,77,0.72,ID,1670363125
364,richards bay,-28.783,32.0377,20.03,88,100,0.92,ZA,1670363126
365,linjiang,41.8069,126.9078,-13.15,95,22,0.73,CN,1670363126
366,yarmouth,41.7057,-70.2286,12.08,88,0,4.92,US,1670363126
